1,2
2,2
3,1
4,2
5,2
6,2
7,2
8,2
9,1
10,2
11,3
12,3
13,2
14,3
15,2
16,2
17,1
18,2
19,2
20,3
21,2
22,2
23,2
24,2
25,2
26,2
27,3
28,3
29,2
30,3
31,2
32,3
33,2
34,3
35,1
36,3
37,2
38,3
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,3
47,2
48,3
49,2
50,2
51,2
52,3
53,1
54,2
55,3
56,3
57,2
58,3
59,2
60,1
61,2
62,2
63,2
64,3
65,2
66,3
67,2
68,2
69,2
70,3
71,3
72,2
73,2
74,2
75,2
76,1
77,2
78,2
79,2
80,2
81,2
82,2
83,3
84,2
85,2
86,2
87,2
88,3
89,2
90,2
91,1
92,2
93,2
94,2
95,3
96,2
97,2
98,3
99,2
100,1
101,3
102,2
103,2
104,2
105,3
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,3
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,3
127,2
128,3
129,2
130,2
131,3
132,2
133,3
134,2
135,2
136,3
137,2
138,2
139,3
140,1
141,1
142,2
143,2
144,2
145,3
146,2
147,2
148,2
149,3
150,2
151,2
152,2
153,2
154,2
155,3
156,3
157,3
158,2
159,2
160,2
161,1
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,1
170,2
171,3
172,1
173,3
174,2
175,2
176,2
177,3
178,2
179,2
180,2
181,2
182,3
183,2
184,1
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,3
193,2
194,2
195,2
196,1
197,2
198,2
199,3
200,3
201,3
202,2
203,1
204,2
205,2
206,3
207,2
208,2
209,2
210,1
211,2
212,2
213,2
214,3
215,2
216,2
217,1
218,1
219,2
220,2
221,2
222,2
223,3
224,2
225,2
226,2
227,3
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,3
237,3
238,2
239,2
240,2
241,2
242,2
243,3
244,3
245,2
246,2
247,2
248,2
249,2
250,1
251,2
252,2
253,2
254,2
255,2
256,2
257,1
258,1
259,2
260,2
261,2
262,2
263,1
264,2
265,2
266,2
267,2
268,3
269,2
